number;type;tree;bush;diameter;height;description;action
1560;Ель;1;;8;;;Сохранить
1561;Ель;1;;10;;;Сохранить
1562;Ель;1;;8;;;Сохранить
1563;Сосна;1;;78;;сухие ветви;Сохранить
1564;Ель;1;;6;;;Сохранить
1565;Сосна;1;;46;;;Сохранить
1566;Ель;1;;10;;;Сохранить
1567;Ель;1;;8;;;Сохранить
1568;Береза;1;;18;;вершина спилена;Сохранить
1569;Ель;1;;28;;;Сохранить
1570;Клен остролистный;1;;10;;;Сохранить
1571;Дуб;1;;10;;;Сохранить
1572;Береза;1;;24;;;Сохранить
1573;ирга куст;;1;;;;Сохранить
1574;Дуб;1;;6;;;Сохранить
1575;бересклет куст;;2;;;;Сохранить
1576;Клен остролистный;1;;14;;;Сохранить
1577;Рябина;1;;12;;водоохр.зона, с развилкой;Сохранить
1578;Рябина;1;;10;;ствол искривлен;Сохранить
1579;Рябина;1;;12;;;Сохранить
1580;Липа;1;;32;;водоохр.зона;Сохранить
1581;Рябина;1;;12;;;Сохранить
1582;Сосна;1;;42;;;Сохранить
1583;Сосна;1;;74;;;Сохранить
1584;лещина куст;;1;;;;Сохранить
1585;лещина куст;;1;;;;Сохранить
1586;лещина куст;;1;;;;Сохранить
1587;Липа;1;;46;;;Сохранить
1588;лещина куст;;1;;;;Сохранить
1589;Рябина;1;;8;;;Сохранить
1590;Рябина;1;;10;;;Сохранить
1591;Дуб;1;;8;;;Сохранить
1592;Сосна;1;;58;;;Сохранить
1593;Ель;1;;6;;;Сохранить
1594;Рябина;1;;6;;;Сохранить
1595;ирга куст;;1;;;;Сохранить
1596;лещина куст;;1;;;;Сохранить
1597;Ель;1;;36;;;Сохранить
1598;ирга куст;;1;;;;Сохранить
1599;самосев лиственных пород;;;1-2;;;Сохранить
1600;Сосна;1;;58;;;Сохранить
1601;Рябина;1;;6;;;Сохранить
1602;Рябина;1;;10;;;Сохранить
1603;Рябина;1;;8;;;Сохранить
1604;Ель;1;;28;;;Сохранить
1605;Сосна;1;;62;;;Сохранить
1606;лещина куст;;1;;;;Сохранить
1607;Ель;1;;42;;;Сохранить
1608;Сосна;1;;68;;сухие ветви;Сохранить
1609;Дуб;1;;6;;;Сохранить
1610;Ель;1;;54;;;Сохранить
1611;Рябина;1;;12;;;Сохранить
1612;Дуб;1;;6;;;Сохранить
1613;Ель;1;;58;;;Вырубить
1614;Сосна;1;;56;;сухобочина;Вырубить
1615;Сосна;1;;40;;;Сохранить
1616;Ель;1;;64;;;Сохранить
1617;Сосна;1;;60;;;Сохранить
1618;лещина куст;;1;;;;Сохранить
1619;Сосна;1;;66;;;Сохранить
1620;лещина куст;;1;;;;Сохранить
1621;Сосна;1;;68;;;Сохранить
1622;лещина куст;;1;;;;Сохранить
1623;лещина куст;;1;;;;Сохранить
1624;Ель;1;;64;;;Сохранить
1625;Дуб;1;;6;;;Сохранить
1626;самосев лиственных пород;;;1;;;Сохранить
1627;барбарис куст;;1;;;;Сохранить
1628;чубушник куст;;1;;;;Вырубить
1654;Сосна;1;;60;;водоохр.зона, сухие ветви;Сохранить
1655;лещина куст;;1;;;водоохр.зона;Сохранить
1656;Ель;1;;54;;водоохр.зона;Сохранить
1659;Ель;1;;46;;водоохр.зона;Сохранить
1660;самосев лиственных пород;;;1;;водоохр.зона;Сохранить
1661;черемуха куст;;1;;;водоохр.зона;Сохранить
1662;бересклет куст;;11;;;водоохр.зона;Сохранить
1663;Рябина;1;;8,8;;водоохр.зона, 2 ствола;Сохранить
1664;лещина куст;;1;;;водоохр.зона;Сохранить
1665;лещина куст;;1;;;водоохр.зона;Сохранить
1668;Рябина;1;;8;;водоохр.зона, сухостой;Сохранить
1669;бересклет куст;;1;;;водоохр.зона;Сохранить
1675;Сосна;1;;78;;водоохр.зона, сухие ветви;Сохранить
1676;лещина куст;;1;;;водоохр.зона;Сохранить
1677;лещина куст;;1;;;водоохр.зона;Сохранить
1679;Сосна;1;;88;;водоохр.зона, сухие ветви;Сохранить
